year,home_team,away_team,match_result,draws_last_4y_difference,fifa_points_pre_tournament_difference,fifa_rank_pre_tournament_difference,finalist_difference,finals_before_difference,goals_received_last_4y_difference,goals_scored_last_4y_difference,groups_passed_before_difference,is_host_difference,losses_last_4y_difference,quarter_finalist_difference,quarterfinals_before_difference,round16_before_difference,semi_finalist_difference,semifinals_before_difference,squad_avg_age_difference,squad_total_market_value_eur_difference,winner_difference,wins_last_4y_difference,world_cup_participations_before_difference,world_cup_titles_before_difference,fifa_points_pre_tournament_ratio,goals_scored_last_4y_ratio,goals_received_last_4y_ratio,wins_last_4y_ratio,squad_avg_age_ratio,host_difference
2022,France,Australia,Home Win,6,271.05999999999995,-34,1,3,21,32,8,0,0,1,8,6,1,6,-1.0,991600000.0,0,10,10,2,1.1820758772636897,1.463768115942029,2.1052631578947367,1.4761904761904763,0.9636363636363636,0
2022,England,IR Iran,Home Win,4,163.86000000000013,-15,0,1,12,36,12,0,2,1,9,7,0,3,-2.5,1200470000.0,0,5,10,1,1.1047289739935193,1.4186046511627908,1.5454545454545454,1.1785714285714286,0.9134948096885813,0
2022,Senegal,Netherlands,Away Win,2,-109.92000000000007,10,0,-3,-11,-29,-7,0,-1,-1,-4,-5,0,-5,-0.5,-359250000.0,0,3,-8,0,0.9351316899870759,0.7387387387387387,0.75,1.1,0.981203007518797,0
2022,USA,Wales,Draw,-1,57.66000000000008,-3,0,0,-4,65,4,0,-2,0,1,4,0,1,-1.1999999999999993,117250000.0,0,16,9,0,1.0367303257698335,2.2037037037037037,0.9215686274509803,1.7619047619047619,0.9545454545454546,0
2022,Qatar,Ecuador,Away Win,-6,-24.5,6,0,0,14,49,-1,1,3,0,0,-1,0,0,1.3999999999999986,-131600000.0,0,20,-3,0,0.9832694842220993,1.765625,1.25,2.111111111111111,1.0546875,1
2018,France,Croatia,Home Win,-2,253.0,-13,0,2,16,18,7,0,0,0,6,5,0,4,-1.8699999999999974,665830000.0,1,8,10,1,1.2677248677248678,1.2307692307692308,1.5517241379310345,1.32,0.9329749103942653,0
2018,Belgium,England,Home Win,-2,248.0,-9,0,-1,10,37,-3,0,0,0,-6,1,0,-1,1.5399999999999991,-119880000.0,0,1,-2,-1,1.2361904761904763,1.4683544303797469,1.3571428571428572,1.0344827586206897,1.0591170825335892,0
2018,Croatia,England,Home Win,0,-105.0,8,1,-1,1,-1,-10,0,3,0,-7,-5,0,-1,1.8499999999999979,-509490000.0,0,-4,-10,-1,0.9,0.9873417721518988,1.0357142857142858,0.8620689655172413,1.0710172744721689,0
2018,France,Belgium,Home Win,0,-100.0,4,1,2,7,-20,0,0,3,0,5,-1,0,4,-1.5599999999999987,276220000.0,1,3,2,1,0.9229583975346687,0.8275862068965517,1.1842105263157894,1.1,0.9434577745559986,0
2018,Sweden,England,Away Win,5,-171.0,12,0,0,12,-8,-3,0,8,0,-4,-2,-1,1,2.1899999999999977,-753490000.0,0,-9,-3,-1,0.8371428571428572,0.8987341772151899,1.4285714285714286,0.6896551724137931,1.0840690978886756,0
2018,Russia,Croatia,Draw,1,-489.0,50,-1,0,25,-13,-1,1,8,0,-1,-1,-1,-1,0.9400000000000013,-202000000.0,0,-10,-1,0,0.48253968253968255,0.8333333333333334,1.8620689655172413,0.6,1.0336917562724015,1
2018,Uruguay,France,Away Win,0,-180.0,7,-1,-1,-3,-29,1,0,4,0,-2,-2,-1,-1,2.099999999999998,-656840000.0,-1,-12,-2,1,0.8497495826377296,0.6979166666666666,0.9333333333333333,0.6363636363636364,1.0806761429120244,0
2018,Brazil,Belgium,Away Win,0,132.0,-1,0,6,-16,-21,10,0,-1,0,12,3,-1,9,1.0100000000000016,226770000.0,0,3,8,5,1.1016949152542372,0.8189655172413793,0.5789473684210527,1.1,1.03660746647336,0
2018,Sweden,Switzerland,Home Win,8,-319.0,18,0,1,9,-4,2,0,5,1,1,-1,0,3,1.0599999999999987,-98240000.0,0,-5,1,0,0.7337228714524207,0.9466666666666667,1.2903225806451613,0.8,1.0389992641648271,0
2018,Colombia,England,Draw,3,-65.0,4,0,-1,9,-22,-9,0,6,-1,-7,-4,-1,-2,2.34,-622280000.0,0,-10,-9,-1,0.9380952380952381,0.7215189873417721,1.3214285714285714,0.6551724137931034,1.089827255278311,0
2018,Brazil,Mexico,Home Win,-10,441.0,-13,0,6,-45,-12,10,0,-8,1,12,3,0,10,-0.639999999999997,827870000.0,0,-4,5,5,1.4459049544994944,0.8878504672897196,0.3283582089552239,0.8918918918918919,0.9781121751025993,0
2018,Belgium,Japan,Home Win,-3,778.0,-58,0,0,-12,9,6,0,-7,1,2,5,1,1,-0.9899999999999984,677730000.0,0,2,7,0,2.496153846153846,1.0841121495327102,0.76,1.0714285714285714,0.9653603918824353,0
2018,Spain,Russia,Draw,-3,669.0,-60,0,1,-25,38,9,-1,-9,-1,5,7,0,1,-0.3500000000000014,811390000.0,0,14,11,1,2.4671052631578947,1.5846153846153845,0.5370370370370371,1.9333333333333333,0.9878640776699029,-1
2018,Croatia,Denmark,Draw,-2,-106.0,8,1,0,-7,17,-2,0,-3,1,0,-2,1,1,0.759999999999998,104600000.0,0,8,0,0,0.8991436726926736,1.278688524590164,0.8055555555555556,1.4705882352941178,1.028002947678703,0
2018,France,Argentina,Home Win,-4,-43.0,2,1,-3,5,1,-5,0,0,1,-2,-2,1,0,-3.4899999999999984,351150000.0,1,6,-2,-1,0.9653505237711523,1.0105263157894737,1.125,1.2222222222222223,0.8817750677506776,0
2018,Uruguay,Portugal,Home Win,-1,-255.0,10,0,1,6,-33,6,0,2,1,3,2,0,2,-0.240000000000002,-121380000.0,0,-12,6,2,0.7996857816182247,0.67,1.1666666666666667,0.6363636363636364,0.9915403595347198,0
